NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Carl-Olof Bengtsson,75,M,Arbetarepartiet-Socialdemokraterna,S
Monica Haider,59,K,Arbetarepartiet-Socialdemokraterna,S
Piroska Rusza-Pal,57,K,Arbetarepartiet-Socialdemokraterna,S
Marko Kosonen,47,M,Arbetarepartiet-Socialdemokraterna,S
Arijeta Reci,40,K,Arbetarepartiet-Socialdemokraterna,S
Per Ribacke,50,M,Arbetarepartiet-Socialdemokraterna,S
Martina Holmkvist Lundström,40,K,Arbetarepartiet-Socialdemokraterna,S
Anton Härder,56,M,Arbetarepartiet-Socialdemokraterna,S
Anitha Pohlman,79,K,Arbetarepartiet-Socialdemokraterna,S
Mikael Jeansson,59,M,Arbetarepartiet-Socialdemokraterna,S
Agna Beslija,26,K,Arbetarepartiet-Socialdemokraterna,S
Lars-Olof Petersson,55,M,Arbetarepartiet-Socialdemokraterna,S
Robert Olesen,47,M,Arbetarepartiet-Socialdemokraterna,S
Tajma Sisic,28,K,Arbetarepartiet-Socialdemokraterna,S
ClasGöran Carlsson,60,M,Arbetarepartiet-Socialdemokraterna,S
Sofie Årdh,35,K,Arbetarepartiet-Socialdemokraterna,S
Magnus Carlberg,34,M,Arbetarepartiet-Socialdemokraterna,S
Henrietta Serrate,30,K,Arbetarepartiet-Socialdemokraterna,S
Lars Altgård,60,M,Arbetarepartiet-Socialdemokraterna,S
Anna Johansson,50,K,Centerpartiet,C
Carina Bengtsson,60,K,Centerpartiet,C
Elizabeth Peltola,57,K,Centerpartiet,C
Maria Asplund,28,K,Centerpartiet,C
Andreas Olsson,33,M,Centerpartiet,C
Melinda Prick,21,K,Centerpartiet,C
Britt-Louise Berndtsson,68,K,Centerpartiet,C
Thomas Magnusson,72,M,Centerpartiet,C
Åke Carlson,67,M,Centerpartiet,C
Mikael Andersson,56,M,Centerpartiet,C
David Johansson,46,M,Centerpartiet,C
Cecilia Birgersson,41,K,Centerpartiet,C
Martina Svensson,43,K,Centerpartiet,C
Sven Jansson,68,M,Centerpartiet,C
Judit Svensson,60,K,Centerpartiet,C
Tomas Harrysson,54,M,Centerpartiet,C
Andreas Håkansson,31,M,Centerpartiet,C
Irene Olofsson,55,K,Centerpartiet,C
Thomas Haraldsson,36,M,Centerpartiet,C
Golnoush Lundén Keshavarzi,35,K,Centerpartiet,C
Gusten Mårtensson,32,M,Centerpartiet,C
Viktoria Birgersson,45,K,Centerpartiet,C
Lars-Ove Johansson,60,M,Centerpartiet,C
Rut Björkström,55,K,Kristdemokraterna,KD
Ricardo Chavez,35,M,Kristdemokraterna,KD
Jon Malmqvist,49,M,Kristdemokraterna,KD
Mikaela Lindau,34,K,Kristdemokraterna,KD
Gustaf Bergström,55,M,Kristdemokraterna,KD
Christer Brinkner,56,M,Kristdemokraterna,KD
Malin Stadig Lundgren,36,K,Kristdemokraterna,KD
Lennart Johnsson,67,M,Kristdemokraterna,KD
Vincent Hammarstedt,53,M,Kristdemokraterna,KD
Gege Blank,60,M,Kristdemokraterna,KD
Jessica Johansson,50,K,Kristdemokraterna,KD
Emil Torstensson,43,M,Kristdemokraterna,KD
Anders Landin,37,M,Liberalerna (tidigare Folkpartiet),L
Görgen Pihlgren,65,M,Liberalerna (tidigare Folkpartiet),L
Ola Sennehed,69,M,Liberalerna (tidigare Folkpartiet),L
Lucas Modig,21,M,Liberalerna (tidigare Folkpartiet),L
Albert Sadiku,26,M,Liberalerna (tidigare Folkpartiet),L
Jimmi Weiland,41,M,Liberalerna (tidigare Folkpartiet),L
Annika Schilling,46,K,Liberalerna (tidigare Folkpartiet),L
Ingegerd Lennartsson,76,K,Liberalerna (tidigare Folkpartiet),L
Gunnar Nordmark,68,M,Liberalerna (tidigare Folkpartiet),L
Karin Sjöblom,88,K,Liberalerna (tidigare Folkpartiet),L
Yngve Filipsson,71,M,Liberalerna (tidigare Folkpartiet),L
Christina Rosén,62,K,Liberalerna (tidigare Folkpartiet),L
Michael Färdig,66,M,Liberalerna (tidigare Folkpartiet),L
Rickard Karlsson,46,M,Liberalerna (tidigare Folkpartiet),L
Lars Rejdnell,69,M,Liberalerna (tidigare Folkpartiet),L
Eva R Ericsson,71,K,Liberalerna (tidigare Folkpartiet),L
Erik Persson Timm,21,M,Liberalerna (tidigare Folkpartiet),L
Ulf Larsson,67,M,Liberalerna (tidigare Folkpartiet),L
Christer Ivarsson,69,M,Miljöpartiet de gröna,MP
Edvin Arnby-Machata,36,M,Miljöpartiet de gröna,MP
Maria Unell,44,K,Miljöpartiet de gröna,MP
